seed;obj;alpha;beta;mu;sigmaT;sigmaD;x0
693;4.603279231973704e-06;0.9070011495048103;[0.14514465 0.07233286 0.09919735 0.12578838];[0.01014798 0.0160598  0.01028653 0.00729117];8.708271318331083e-11;6.834493982998669e-13;[0.92731201 0.06449158 0.05014221 0.05922124 0.10915345 0.01898125 0.01922903 0.01033051 0.01139424]
101;5.0845412747023705e-06;0.8957127132728835;[0.14457697 0.07341385 0.09903728 0.12505709];[0.00978727 0.01563317 0.01015782 0.00712349];8.708271318331083e-11;6.834493982998669e-13;[0.81116454 0.19294123 0.05244157 0.08855921 0.0507504  0.01298387 0.01668201 0.01758077 0.01873336]
300;5.163914844278762e-06;0.8663461762356983;[0.14505095 0.07779719 0.09780611 0.12240884];[0.00959325 0.01582299 0.01009659 0.00716588];8.708271318331083e-11;6.834493982998669e-13;[0.729475   0.13334993 0.17972002 0.12221958 0.12558177 0.01710522 0.00870348 0.01497135 0.01242816]
212;4.826260861559388e-06;0.9394398412979258;[0.14846117 0.06845665 0.10455273 0.13429912];[0.01116744 0.01537948 0.01065012 0.00720324];8.708271318331083e-11;6.834493982998669e-13;[0.85001307 0.08516297 0.1762311  0.10998029 0.05789127 0.00662985 0.01271026 0.01502715 0.00936984]
649;4.023611746465063e-06;0.9275112754364904;[0.14670004 0.07089339 0.10378806 0.13017009];[0.01092605 0.0159346  0.01036415 0.00687458];8.708271318331083e-11;6.834493982998669e-13;[0.92558969 0.11577698 0.06485262 0.17429149 0.09228889 0.00806279 0.0108926  0.01499241 0.00768627]
674;3.900444190160584e-06;0.9107798531422542;[0.14489611 0.07197154 0.10039633 0.12678706];[0.01084674 0.01568456 0.01088452 0.00718894];8.708271318331083e-11;6.834493982998669e-13;[0.74620706 0.16234698 0.0891352  0.13879574 0.10453852 0.01543918 0.01643541 0.01551166 0.00783905]
830;3.8006045793933133e-06;0.8907229304847204;[0.14331748 0.07346955 0.10027859 0.12502643];[0.00963462 0.01607259 0.010401   0.00716378];8.708271318331083e-11;6.834493982998669e-13;[0.8966648  0.17472174 0.12561596 0.10530555 0.06095167 0.00580496 0.0199637  0.01974684 0.01315754]
991;3.8810309173743335e-06;0.8994859801620939;[0.14494195 0.07403929 0.09933431 0.12474233];[0.01027483 0.01609937 0.01048117 0.00707145];8.708271318331083e-11;6.834493982998669e-13;[0.90809523 0.13879203 0.15960631 0.14909769 0.14563466 0.00658102 0.01937836 0.00818968 0.01043417]
328;4.675468889031828e-06;0.9039847012569613;[0.14681238 0.07477382 0.09838586 0.1247557 ];[0.01086854 0.01570115 0.00986301 0.00710034];8.708271318331083e-11;6.834493982998669e-13;[0.92351408 0.17038072 0.15203234 0.13730645 0.10619563 0.01940598 0.00631365 0.01822263 0.01874553]
891;4.157682121685746e-06;0.9167462355381139;[0.14443406 0.06992805 0.10104945 0.12875422];[0.01033581 0.01606547 0.01058855 0.00720461];8.708271318331083e-11;6.834493982998669e-13;[0.89006892 0.14751742 0.0673826  0.07649044 0.07909144 0.01947122 0.01834582 0.00942419 0.00741719]
4258;4.5879232379642564e-06;0.8987437861736359;[0.14266274 0.07190634 0.10223969 0.12635947];[0.0098938  0.01587978 0.01042234 0.00713177];8.708271318331083e-11;6.834493982998669e-13;[0.79595257 0.16840349 0.1169299  0.06082525 0.13673655 0.0174969 0.00612572 0.01922801 0.01003443]
1227;4.238251630748764e-06;0.8880576668773267;[0.14346219 0.07362291 0.09971352 0.12520344];[0.00953832 0.01596506 0.00979557 0.00684845];8.708271318331083e-11;6.834493982998669e-13;[0.91441288 0.13229354 0.18442863 0.17923641 0.1994509  0.01521773 0.01564585 0.01182518 0.01291903]
5385;4.087429359578791e-06;0.8901976434552555;[0.14389169 0.07445835 0.1007361  0.12423226];[0.00978666 0.01601029 0.00990092 0.00705807];8.708271318331083e-11;6.834493982998669e-13;[0.76774723 0.16068775 0.06975597 0.17778963 0.151234   0.01352949 0.01058171 0.01095955 0.01698297]
3426;4.322333951180657e-06;0.8937263170111365;[0.1435601  0.07294848 0.10011913 0.12596235];[0.00948587 0.01592992 0.00992543 0.00698463];8.708271318331083e-11;6.834493982998669e-13;[0.91589115 0.15255875 0.13221175 0.18567013 0.19625082 0.01289793 0.01653329 0.0100551  0.01100572]
902;4.1194284054338565e-06;0.9070298677964347;[0.1442944  0.07216391 0.10135961 0.12650523];[0.01032969 0.01600233 0.01032707 0.00693108];8.708271318331083e-11;6.834493982998669e-13;[0.7736103  0.15618476 0.11319088 0.05220022 0.15309081 0.01356727 0.01817894 0.00803074 0.01130931]
1081;4.774384980240431e-06;0.8814868544865946;[0.14269782 0.07470404 0.10178831 0.12548365];[0.00950667 0.01611278 0.00999815 0.00679202];8.708271318331083e-11;6.834493982998669e-13;[0.84648298 0.14713334 0.1752683  0.15174152 0.06965084 0.01476005 0.01373563 0.01288071 0.01183091]
6217;4.7191786500198205e-06;0.929192222391527;[0.14709387 0.06997128 0.10245044 0.13040252];[0.01066137 0.01549544 0.01049817 0.0070541 ];8.708271318331083e-11;6.834493982998669e-13;[0.93127361 0.1321184  0.19137018 0.16314185 0.16379883 0.00594685 0.01096304 0.00679622 0.00788778]
6816;4.396388658812652e-06;0.8948254917634997;[0.1425317  0.07236939 0.10157643 0.12655692];[0.01008001 0.01605394 0.01031242 0.00705839];8.708271318331083e-11;6.834493982998669e-13;[0.82335596 0.06842563 0.19886345 0.15199573 0.06017103 0.00984916 0.01006767 0.01196564 0.01850263]
5816;3.6164561116440192e-06;0.8975502549816977;[0.1453319  0.07378153 0.09755157 0.12362108];[0.01050682 0.01568531 0.01036031 0.00710214];8.708271318331083e-11;6.834493982998669e-13;[0.9404238  0.12491806 0.1990751  0.10066955 0.12434848 0.01802867 0.0167487  0.01790553 0.01951432]
2109;4.0688662578992195e-06;0.9218328049936501;[0.14394071 0.06882073 0.10312774 0.13051239];[0.01049442 0.01609992 0.01060798 0.00711374];8.708271318331083e-11;6.834493982998669e-13;[0.84479951 0.06736803 0.18822503 0.11819959 0.06407471 0.01359305 0.00546641 0.01514993 0.01190277]
3140;5.210765396368439e-06;0.9105205953464234;[0.14503704 0.07242529 0.1018924  0.12730863];[0.010415   0.01571451 0.01020698 0.00669683];8.708271318331083e-11;6.834493982998669e-13;[0.9402724  0.09862925 0.10949456 0.06580809 0.08085267 0.0178881 0.01940019 0.01363259 0.01446627]
1522;4.879343096662789e-06;0.8999932907534178;[0.14394636 0.07295065 0.10104495 0.12634658];[0.01051566 0.01587158 0.01008111 0.00670829];8.708271318331083e-11;6.834493982998669e-13;[0.81658066 0.18668379 0.15769041 0.12813735 0.08179731 0.00624751 0.01482933 0.00501405 0.00879053]
5611;3.978510948184456e-06;0.9182890017562989;[0.14497719 0.07015313 0.10215768 0.12936571];[0.0103634  0.01540195 0.0105708  0.00702096];8.708271318331083e-11;6.834493982998669e-13;[0.82176314 0.07350955 0.13434622 0.15263362 0.14696171 0.01928934 0.00933462 0.01970194 0.00800186]
2567;4.089186167742878e-06;0.8895843641536544;[0.14361877 0.0734155  0.09861584 0.12389376];[0.01005567 0.01582223 0.01075797 0.00715488];8.708271318331083e-11;6.834493982998669e-13;[0.78638232 0.12435335 0.05058058 0.14669477 0.19612592 0.01751717 0.01795286 0.01009997 0.01103385]
7009;4.097470648494015e-06;0.9027784689513898;[0.14360296 0.07221603 0.10108606 0.12734234];[0.01023913 0.01612684 0.01035537 0.00700603];8.708271318331083e-11;6.834493982998669e-13;[0.72556235 0.17581849 0.05002158 0.05050839 0.06701007 0.01789967 0.01483125 0.00674778 0.00879311]
826;4.772953189842158e-06;0.8800030849469375;[0.14268751 0.07416372 0.09964044 0.12524245];[0.0094081  0.01633825 0.01010448 0.00697772];8.708271318331083e-11;6.834493982998669e-13;[0.8383708  0.12589609 0.1935688  0.13144604 0.16394523 0.01182459 0.01926053 0.00773288 0.01574301]
3719;5.3437697772570105e-06;0.9114364669790148;[0.14551081 0.07162879 0.09952137 0.12572832];[0.00995831 0.01554762 0.01027828 0.00688765];8.708271318331083e-11;6.834493982998669e-13;[0.80269577 0.08608766 0.17171836 0.17016699 0.18752189 0.01556435 0.01493198 0.00882816 0.00960456]
6941;5.022365259137179e-06;0.8850844065699166;[0.14271445 0.07395195 0.10090069 0.12591064];[0.009899   0.0157998  0.0102245  0.00699246];8.708271318331083e-11;6.834493982998669e-13;[0.88120235 0.11252144 0.07350331 0.19606775 0.10337403 0.00588231 0.00787101 0.01840017 0.01983663]
4157;4.5786277776782175e-06;0.9070612372123354;[0.14357096 0.07085517 0.10051904 0.1278166 ];[0.00994149 0.01595664 0.01061861 0.00707886];8.708271318331083e-11;6.834493982998669e-13;[0.87508554 0.13396489 0.07515996 0.09848687 0.17481994 0.01858651 0.00563499 0.01460842 0.00982855]
7204;4.766287753162323e-06;0.8753055192056828;[0.14372082 0.07486671 0.09774157 0.1242244 ];[0.00940969 0.01570402 0.01040128 0.00735825];8.708271318331083e-11;6.834493982998669e-13;[0.89896571 0.1373439  0.18001286 0.0569075  0.05759372 0.00564448 0.00517176 0.01396908 0.0184302 ]
7162;4.205641146620104e-06;0.9034693499231177;[0.14607883 0.07412357 0.09892987 0.124097  ];[0.01033186 0.01558045 0.01044398 0.00724352];8.708271318331083e-11;6.834493982998669e-13;[0.94924065 0.16933184 0.13333347 0.18091081 0.13863374 0.01670302 0.01368763 0.01098367 0.01053792]
7125;4.980438851506866e-06;0.8907558219590135;[0.14428446 0.07529545 0.10144957 0.12462253];[0.00977669 0.01639288 0.00997088 0.00710181];8.708271318331083e-11;6.834493982998669e-13;[0.70911761 0.14028671 0.08062741 0.09022347 0.0972925  0.00800343 0.00679444 0.01828484 0.01721323]
7819;4.646894235256493e-06;0.9019381499631675;[0.14438774 0.07343599 0.10118326 0.12642054];[0.01020714 0.01586341 0.01018454 0.00704554];8.708271318331083e-11;6.834493982998669e-13;[0.73424557 0.08420351 0.17144008 0.18950367 0.06646816 0.00576841 0.01544608 0.01100019 0.00582982]
1414;4.718520520706339e-06;0.917452382372207;[0.14560934 0.07083792 0.10058904 0.12750589];[0.01045317 0.01574368 0.01058238 0.00706284];8.708271318331083e-11;6.834493982998669e-13;[0.87995667 0.19350039 0.11111275 0.05459646 0.15307964 0.01335026 0.01256448 0.01002671 0.01805548]
5630;4.775606053095873e-06;0.8955015425705679;[0.14442535 0.07390763 0.09989152 0.12489992];[0.01020426 0.01584052 0.01003564 0.00698903];8.708271318331083e-11;6.834493982998669e-13;[0.90514317 0.09105553 0.09858015 0.07192222 0.1523939  0.00802347 0.0107459  0.00896619 0.00597231]
