exp;tau;sigma;rho;delta;gamma1;gamma2;sbeta;order_beta;smu;order_mu;initial_day;final_day;hmax;psi;x0;bounds;algorithm;E0;I0;A0;Q0;S0;R0;D0;T0;alpha;beta;mu;obj;time
1;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;4;3;4;3;2020-03-16;2020-07-31;0.2;10;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.8979752637780678;[0.12169373 0.07901982 0.08542456 0.11910312];[0.01428128 0.01445336 0.01151552 0.00771022];1.1280871629716506e-06;37.015878438949585
2;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;4;3;4;3;2020-03-16;2020-07-31;0.2;10;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.8979752637780678;[0.12169373 0.07901982 0.08542456 0.11910312];[0.01428128 0.01445336 0.01151552 0.00771022];1.1280871629716506e-06;36.03364372253418
3;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;4;3;4;3;2020-03-16;2020-07-31;0.2;100;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.8952580861316883;[0.12196017 0.07904388 0.0850119  0.11888325];[0.01401594 0.0143808  0.01179967 0.00814388];2.1755899552848725e-06;34.74901485443115
4;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;4;3;4;3;2020-03-16;2020-07-31;0.2;53.814322424256964;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.898109103337769;[0.12357947 0.08378213 0.08868748 0.11316063];[0.01410578 0.01411741 0.0113865  0.00782121];3.7975480709774224e-06;25.311404705047607
5;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;4;3;4;3;2020-03-16;2020-07-31;0.2;100;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.8952580861316883;[0.12196017 0.07904388 0.0850119  0.11888325];[0.01401594 0.0143808  0.01179967 0.00814388];2.1755899552848725e-06;34.034170627593994
6;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;4;3;4;3;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.8960241799101356;[0.12194436 0.07888894 0.08488795 0.11896943];[0.013972   0.0143717  0.01184833 0.00821151];2.4436618301985223e-06;37.822171688079834
7;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;4;3;4;3;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.8960241799101356;[0.12194436 0.07888894 0.08488795 0.11896943];[0.013972   0.0143717  0.01184833 0.00821151];2.4436618301985223e-06;40.108720779418945
8;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;0;3;0;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7;[0.2        0.15750362 0.06673105];[0.02      0.0150504 0.005    ];0.0006682707842748896;18.331498384475708
9;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;0;3;1;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7;[0.2        0.16079244 0.05      ];[0.02       0.01539718 0.005     ];0.000581016081506009;21.206185340881348
10;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;0;3;2;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7;[0.2        0.16310097 0.05      ];[0.02       0.01477225 0.00643939];0.0005600678830468803;20.103607416152954
